year,urbanization,sex,age_group,x,nDx,nEx
2018,Large Fringe Metro,Male,35-39,35,5569,2696650
2018,Large Fringe Metro,Male,40-44,40,5952,2540485
2018,Large Fringe Metro,Male,45-49,45,8633,2730893
2018,Large Fringe Metro,Male,50-54,50,13460,2762017
2018,Large Fringe Metro,Male,55-59,55,21436,2821428
2018,Large Fringe Metro,Male,60-64,60,27859,2480707
2018,Large Fringe Metro,Male,65-69,65,32408,1975359
2018,Large Fringe Metro,Male,70-74,70,36902,1524343
2018,Large Fringe Metro,Male,75-79,75,39586,1005265
2018,Large Fringe Metro,Male,80-84,80,40722,614916
2018,Large Fringe Metro,Male,85+,85,82606,561566
2019,Large Fringe Metro,Male,1,0,2516,464016
2019,Large Fringe Metro,Male,1-4,1,397,1990950
2019,Large Fringe Metro,Male,5-9,5,258,2621167
2019,Large Fringe Metro,Male,10-14,10,408,2769726
2019,Large Fringe Metro,Male,15-19,15,1608,2744915
2019,Large Fringe Metro,Male,20-24,20,3250,2560506
2019,Large Fringe Metro,Male,25-29,25,4533,2710647
2019,Large Fringe Metro,Male,30-34,30,4948,2668916
2019,Large Fringe Metro,Male,35-39,35,5738,2728114
2019,Large Fringe Metro,Male,40-44,40,6229,2576448
2019,Large Fringe Metro,Male,45-49,45,8600,2684500
2019,Large Fringe Metro,Male,50-54,50,13178,2715306
2019,Large Fringe Metro,Male,55-59,55,20930,2829038
2019,Large Fringe Metro,Male,60-64,60,28129,2533068
2019,Large Fringe Metro,Male,65-69,65,32843,2024909
2019,Large Fringe Metro,Male,70-74,70,38263,1596539
2019,Large Fringe Metro,Male,75-79,75,40582,1053436
2019,Large Fringe Metro,Male,80-84,80,41627,639403
2019,Large Fringe Metro,Male,85+,85,83346,575704
2017,Medium Metro,Female,1,0,2202,402858
2017,Medium Metro,Female,1-4,1,364,1648940
2017,Medium Metro,Female,5-9,5,223,2108343
2017,Medium Metro,Female,10-14,10,261,2151671
2017,Medium Metro,Female,15-19,15,668,2243036
2017,Medium Metro,Female,20-24,20,1239,2394327
2017,Medium Metro,Female,25-29,25,1795,2337862
2017,Medium Metro,Female,30-34,30,2326,2179211
2017,Medium Metro,Female,35-39,35,2819,2137485
2017,Medium Metro,Female,40-44,40,3614,1981705
2017,Medium Metro,Female,45-49,45,5560,2131104
2017,Medium Metro,Female,50-54,50,9041,2212682
2017,Medium Metro,Female,55-59,55,14008,2345319
2017,Medium Metro,Female,60-64,60,18160,2205718
2017,Medium Metro,Female,65-69,65,22631,1920004
2017,Medium Metro,Female,70-74,70,27404,1500091
2017,Medium Metro,Female,75-79,75,31512,1044138
2017,Medium Metro,Female,80-84,80,38540,744401
2017,Medium Metro,Female,85+,85,117845,891382
2018,Medium Metro,Female,1,0,2115,392809
2018,Medium Metro,Female,1-4,1,344,1642189
2018,Medium Metro,Female,5-9,5,213,2098799
2018,Medium Metro,Female,10-14,10,291,2167476
2018,Medium Metro,Female,15-19,15,679,2247367
2018,Medium Metro,Female,20-24,20,1114,2381356
2018,Medium Metro,Female,25-29,25,1777,2360396
2018,Medium Metro,Female,30-34,30,2360,2193018
2018,Medium Metro,Female,35-39,35,2933,2174197
2018,Medium Metro,Female,40-44,40,3506,1994084
2018,Medium Metro,Female,45-49,45,5482,2116971
2018,Medium Metro,Female,50-54,50,8598,2157458
2018,Medium Metro,Female,55-59,55,13686,2339616
2018,Medium Metro,Female,60-64,60,18531,2242526
2018,Medium Metro,Female,65-69,65,22694,1954410
2018,Medium Metro,Female,70-74,70,28317,1569689
2018,Medium Metro,Female,75-79,75,32405,1111536
2018,Medium Metro,Female,80-84,80,38906,763255
2018,Medium Metro,Female,85+,85,117541,900726
2019,Medium Metro,Female,1,0,2016,386418
2019,Medium Metro,Female,1-4,1,352,1626825
2019,Medium Metro,Female,5-9,5,237,2099792
2019,Medium Metro,Female,10-14,10,283,2164549
2019,Medium Metro,Female,15-19,15,597,2246641
2019,Medium Metro,Female,20-24,20,1114,2366113
2019,Medium Metro,Female,25-29,25,1720,2360679
2019,Medium Metro,Female,30-34,30,2360,2224750
2019,Medium Metro,Female,35-39,35,2966,2195374
2019,Medium Metro,Female,40-44,40,3411,2021581
2019,Medium Metro,Female,45-49,45,5430,2084368
2019,Medium Metro,Female,50-54,50,8152,2113838
2019,Medium Metro,Female,55-59,55,13574,2333761
2019,Medium Metro,Female,60-64,60,18914,2266985
2019,Medium Metro,Female,65-69,65,22525,2001233
2019,Medium Metro,Female,70-74,70,28892,1647614
2019,Medium Metro,Female,75-79,75,33619,1162513
2019,Medium Metro,Female,80-84,80,39347,784780
2019,Medium Metro,Female,85+,85,116405,903016
2017,Medium Metro,Male,1,0,2752,422108
2017,Medium Metro,Male,1-4,1,486,1728766
2017,Medium Metro,Male,5-9,5,291,2199853
2017,Medium Metro,Male,10-14,10,466,2247948
2017,Medium Metro,Male,15-19,15,1678,2329008
2017,Medium Metro,Male,20-24,20,3483,2529627
2017,Medium Metro,Male,25-29,25,4306,2437936
2017,Medium Metro,Male,30-34,30,4813,2214025
2017,Medium Metro,Male,35-39,35,5320,2128214
2017,Medium Metro,Male,40-44,40,5848,1942680
2017,Medium Metro,Male,45-49,45,8684,2077609
2017,Medium Metro,Male,50-54,50,13790,2116614
2017,Medium Metro,Male,55-59,55,21504,2192646
2017,Medium Metro,Male,60-64,60,27807,1998799
2017,Medium Metro,Male,65-69,65,32076,1706576
2017,Medium Metro,Male,70-74,70,34930,1308033
