urbanization,ageGroup,startAge,sex,year,deaths,pop
Large Fringe Metro,80-84,80,Male,2019,41627,639403
Large Fringe Metro,85+,85,Male,2019,83346,575704
Medium Metro,1,0,Female,2017,2202,402858
Medium Metro,1-4,1,Female,2017,364,1648940
Medium Metro,5-9,5,Female,2017,223,2108343
Medium Metro,10-14,10,Female,2017,261,2151671
Medium Metro,15-19,15,Female,2017,668,2243036
Medium Metro,20-24,20,Female,2017,1239,2394327
Medium Metro,25-29,25,Female,2017,1795,2337862
Medium Metro,30-34,30,Female,2017,2326,2179211
Medium Metro,35-39,35,Female,2017,2819,2137485
Medium Metro,40-44,40,Female,2017,3614,1981705
Medium Metro,45-49,45,Female,2017,5560,2131104
Medium Metro,50-54,50,Female,2017,9041,2212682
Medium Metro,55-59,55,Female,2017,14008,2345319
Medium Metro,60-64,60,Female,2017,18160,2205718
Medium Metro,65-69,65,Female,2017,22631,1920004
Medium Metro,70-74,70,Female,2017,27404,1500091
Medium Metro,75-79,75,Female,2017,31512,1044138
Medium Metro,80-84,80,Female,2017,38540,744401
Medium Metro,85+,85,Female,2017,117845,891382
Medium Metro,1,0,Female,2018,2115,392809
Medium Metro,1-4,1,Female,2018,344,1642189
Medium Metro,5-9,5,Female,2018,213,2098799
Medium Metro,10-14,10,Female,2018,291,2167476
Medium Metro,15-19,15,Female,2018,679,2247367
Medium Metro,20-24,20,Female,2018,1114,2381356
Medium Metro,25-29,25,Female,2018,1777,2360396
Medium Metro,30-34,30,Female,2018,2360,2193018
Medium Metro,35-39,35,Female,2018,2933,2174197
Medium Metro,40-44,40,Female,2018,3506,1994084
Medium Metro,45-49,45,Female,2018,5482,2116971
Medium Metro,50-54,50,Female,2018,8598,2157458
Medium Metro,55-59,55,Female,2018,13686,2339616
Medium Metro,60-64,60,Female,2018,18531,2242526
Medium Metro,65-69,65,Female,2018,22694,1954410
Medium Metro,70-74,70,Female,2018,28317,1569689
Medium Metro,75-79,75,Female,2018,32405,1111536
Medium Metro,80-84,80,Female,2018,38906,763255
Medium Metro,85+,85,Female,2018,117541,900726
Medium Metro,1,0,Female,2019,2016,386418
Medium Metro,1-4,1,Female,2019,352,1626825
Medium Metro,5-9,5,Female,2019,237,2099792
Medium Metro,10-14,10,Female,2019,283,2164549
Medium Metro,15-19,15,Female,2019,597,2246641
Medium Metro,20-24,20,Female,2019,1114,2366113
Medium Metro,25-29,25,Female,2019,1720,2360679
Medium Metro,30-34,30,Female,2019,2360,2224750
Medium Metro,35-39,35,Female,2019,2966,2195374
Medium Metro,40-44,40,Female,2019,3411,2021581
Medium Metro,45-49,45,Female,2019,5430,2084368
Medium Metro,50-54,50,Female,2019,8152,2113838
Medium Metro,55-59,55,Female,2019,13574,2333761
Medium Metro,60-64,60,Female,2019,18914,2266985
Medium Metro,65-69,65,Female,2019,22525,2001233
Medium Metro,70-74,70,Female,2019,28892,1647614
Medium Metro,75-79,75,Female,2019,33619,1162513
Medium Metro,80-84,80,Female,2019,39347,784780
Medium Metro,85+,85,Female,2019,116405,903016
Medium Metro,1,0,Male,2017,2752,422108
Medium Metro,1-4,1,Male,2017,486,1728766
Medium Metro,5-9,5,Male,2017,291,2199853
Medium Metro,10-14,10,Male,2017,466,2247948
Medium Metro,15-19,15,Male,2017,1678,2329008
Medium Metro,20-24,20,Male,2017,3483,2529627
Medium Metro,25-29,25,Male,2017,4306,2437936
Medium Metro,30-34,30,Male,2017,4813,2214025
Medium Metro,35-39,35,Male,2017,5320,2128214
Medium Metro,40-44,40,Male,2017,5848,1942680
Medium Metro,45-49,45,Male,2017,8684,2077609
Medium Metro,50-54,50,Male,2017,13790,2116614
Medium Metro,55-59,55,Male,2017,21504,2192646
Medium Metro,60-64,60,Male,2017,27807,1998799
Medium Metro,65-69,65,Male,2017,32076,1706576
Medium Metro,70-74,70,Male,2017,34930,1308033
Medium Metro,75-79,75,Male,2017,35469,851250
Medium Metro,80-84,80,Male,2017,37683,548525
Medium Metro,85+,85,Male,2017,73113,495569
Medium Metro,1,0,Male,2018,2633,411663
Medium Metro,1-4,1,Male,2018,492,1722245
Medium Metro,5-9,5,Male,2018,260,2191922
Medium Metro,10-14,10,Male,2018,409,2263789
Medium Metro,15-19,15,Male,2018,1668,2330998
Medium Metro,20-24,20,Male,2018,3193,2503447
Medium Metro,25-29,25,Male,2018,4304,2470909
Medium Metro,30-34,30,Male,2018,4720,2233678
Medium Metro,35-39,35,Male,2018,5383,2167923
Medium Metro,40-44,40,Male,2018,5853,1959104
Medium Metro,45-49,45,Male,2018,8827,2057801
Medium Metro,50-54,50,Male,2018,12962,2068063
Medium Metro,55-59,55,Male,2018,21330,2185442
Medium Metro,60-64,60,Male,2018,28622,2032984
Medium Metro,65-69,65,Male,2018,32560,1730136
Medium Metro,70-74,70,Male,2018,36329,1368943
Medium Metro,75-79,75,Male,2018,37706,911560
Medium Metro,80-84,80,Male,2018,38078,566879
Medium Metro,85+,85,Male,2018,73855,507489
Medium Metro,1,0,Male,2019,2649,404810
Medium Metro,1-4,1,Male,2019,447,1702382
Medium Metro,5-9,5,Male,2019,278,2197842
Medium Metro,10-14,10,Male,2019,415,2259587
Medium Metro,15-19,15,Male,2019,1643,2328072
Medium Metro,20-24,20,Male,2019,3110,2480390
Medium Metro,25-29,25,Male,2019,4240,2478112
Medium Metro,30-34,30,Male,2019,4837,2266652
Medium Metro,35-39,35,Male,2019,5526,2191714
Medium Metro,40-44,40,Male,2019,6056,1989001
Medium Metro,45-49,45,Male,2019,8620,2025123
Medium Metro,50-54,50,Male,2019,12987,2031522
Medium Metro,55-59,55,Male,2019,21389,2177603
Medium Metro,60-64,60,Male,2019,28748,2059344
Medium Metro,65-69,65,Male,2019,33354,1763649
Medium Metro,70-74,70,Male,2019,37247,1435199
Medium Metro,75-79,75,Male,2019,38869,955082
Medium Metro,80-84,80,Male,2019,38949,586627
Medium Metro,85+,85,Male,2019,74316,518298
Micropolitan (Nonmetro),1,0,Female,2017,883,155181
Micropolitan (Nonmetro),1-4,1,Female,2017,170,636408
Micropolitan (Nonmetro),5-9,5,Female,2017,118,815321
Micropolitan (Nonmetro),10-14,10,Female,2017,139,838800
Micropolitan (Nonmetro),15-19,15,Female,2017,320,879189
Micropolitan (Nonmetro),20-24,20,Female,2017,538,902520
Micropolitan (Nonmetro),25-29,25,Female,2017,720,824230
Micropolitan (Nonmetro),30-34,30,Female,2017,941,773745
Micropolitan (Nonmetro),35-39,35,Female,2017,1247,785877
Micropolitan (Nonmetro),40-44,40,Female,2017,1695,740755
Micropolitan (Nonmetro),45-49,45,Female,2017,2590,814661
Micropolitan (Nonmetro),50-54,50,Female,2017,4270,881780
Micropolitan (Nonmetro),55-59,55,Female,2017,6792,978795
Micropolitan (Nonmetro),60-64,60,Female,2017,8909,948479
Micropolitan (Nonmetro),65-69,65,Female,2017,11243,829406
Micropolitan (Nonmetro),70-74,70,Female,2017,13884,654315
Micropolitan (Nonmetro),75-79,75,Female,2017,15912,469172
Micropolitan (Nonmetro),80-84,80,Female,2017,18763,333403
Micropolitan (Nonmetro),85+,85,Female,2017,54577,392683
Micropolitan (Nonmetro),1,0,Female,2018,837,150930
Micropolitan (Nonmetro),1-4,1,Female,2018,156,633989
Micropolitan (Nonmetro),5-9,5,Female,2018,93,807258
Micropolitan (Nonmetro),10-14,10,Female,2018,120,842820
Micropolitan (Nonmetro),15-19,15,Female,2018,322,873957
Micropolitan (Nonmetro),20-24,20,Female,2018,495,890892
Micropolitan (Nonmetro),25-29,25,Female,2018,821,830750
Micropolitan (Nonmetro),30-34,30,Female,2018,969,771273
Micropolitan (Nonmetro),35-39,35,Female,2018,1279,794814
Micropolitan (Nonmetro),40-44,40,Female,2018,1628,742321
Micropolitan (Nonmetro),45-49,45,Female,2018,2562,805058
Micropolitan (Nonmetro),50-54,50,Female,2018,4075,850543
Micropolitan (Nonmetro),55-59,55,Female,2018,6761,969036
Micropolitan (Nonmetro),60-64,60,Female,2018,9060,959668
Micropolitan (Nonmetro),65-69,65,Female,2018,11237,841864
Micropolitan (Nonmetro),70-74,70,Female,2018,14417,677523
Micropolitan (Nonmetro),75-79,75,Female,2018,16442,492817
Micropolitan (Nonmetro),80-84,80,Female,2018,18829,340012
Micropolitan (Nonmetro),85+,85,Female,2018,54034,393301
Micropolitan (Nonmetro),1,0,Female,2019,860,148695
Micropolitan (Nonmetro),1-4,1,Female,2019,187,627829
Micropolitan (Nonmetro),5-9,5,Female,2019,111,803106
Micropolitan (Nonmetro),10-14,10,Female,2019,128,839838
Micropolitan (Nonmetro),15-19,15,Female,2019,297,868222
Micropolitan (Nonmetro),20-24,20,Female,2019,517,881707
Micropolitan (Nonmetro),25-29,25,Female,2019,723,827819
Micropolitan (Nonmetro),30-34,30,Female,2019,1068,777609
Micropolitan (Nonmetro),35-39,35,Female,2019,1310,796259
Micropolitan (Nonmetro),40-44,40,Female,2019,1682,748390
Micropolitan (Nonmetro),45-49,45,Female,2019,2533,790283
Micropolitan (Nonmetro),50-54,50,Female,2019,3935,824319
Micropolitan (Nonmetro),55-59,55,Female,2019,6681,958227
Micropolitan (Nonmetro),60-64,60,Female,2019,9404,964574
Micropolitan (Nonmetro),65-69,65,Female,2019,11443,859049
Micropolitan (Nonmetro),70-74,70,Female,2019,14683,704246
Micropolitan (Nonmetro),75-79,75,Female,2019,16803,508194
Micropolitan (Nonmetro),80-84,80,Female,2019,19181,347670
Micropolitan (Nonmetro),85+,85,Female,2019,53667,392070
Micropolitan (Nonmetro),1,0,Male,2017,1125,162584
Micropolitan (Nonmetro),1-4,1,Male,2017,243,665903
Micropolitan (Nonmetro),5-9,5,Male,2017,139,852459
Micropolitan (Nonmetro),10-14,10,Male,2017,202,879062
Micropolitan (Nonmetro),15-19,15,Male,2017,786,932562
Micropolitan (Nonmetro),20-24,20,Male,2017,1356,1001587
Micropolitan (Nonmetro),25-29,25,Male,2017,1799,907651
Micropolitan (Nonmetro),30-34,30,Male,2017,1974,828336
Micropolitan (Nonmetro),35-39,35,Male,2017,2321,821847
Micropolitan (Nonmetro),40-44,40,Male,2017,2712,766308
Micropolitan (Nonmetro),45-49,45,Male,2017,4059,834451
Micropolitan (Nonmetro),50-54,50,Male,2017,6536,878705
Micropolitan (Nonmetro),55-59,55,Male,2017,10668,944271
Micropolitan (Nonmetro),60-64,60,Male,2017,13973,899848
Micropolitan (Nonmetro),65-69,65,Male,2017,16380,779077
Micropolitan (Nonmetro),70-74,70,Male,2017,17849,591501
Micropolitan (Nonmetro),75-79,75,Male,2017,18672,396320
Micropolitan (Nonmetro),80-84,80,Male,2017,19287,251060
Micropolitan (Nonmetro),85+,85,Male,2017,33717,212593
Micropolitan (Nonmetro),1,0,Male,2018,1128,158036
Micropolitan (Nonmetro),1-4,1,Male,2018,244,661772
Micropolitan (Nonmetro),5-9,5,Male,2018,145,844782
Micropolitan (Nonmetro),10-14,10,Male,2018,188,883345
Micropolitan (Nonmetro),15-19,15,Male,2018,749,926592
Micropolitan (Nonmetro),20-24,20,Male,2018,1327,987721
Micropolitan (Nonmetro),25-29,25,Male,2018,1711,918888
Micropolitan (Nonmetro),30-34,30,Male,2018,1865,828742
Micropolitan (Nonmetro),35-39,35,Male,2018,2311,830033
Micropolitan (Nonmetro),40-44,40,Male,2018,2607,769023
Micropolitan (Nonmetro),45-49,45,Male,2018,4081,823501
Micropolitan (Nonmetro),50-54,50,Male,2018,6258,850562
Micropolitan (Nonmetro),55-59,55,Male,2018,10296,933370
Micropolitan (Nonmetro),60-64,60,Male,2018,14153,909448
Micropolitan (Nonmetro),65-69,65,Male,2018,16636,787863
Micropolitan (Nonmetro),70-74,70,Male,2018,18727,614391
Micropolitan (Nonmetro),75-79,75,Male,2018,19484,418324
